ID,ln(Alanine),Arginine,Asparagine,Aspartic_acid,ln(Glutamic_acid),ln(Glutamine),Glycine,-1/Isoleucine,Leucine,ln(Lysine),Phenylalanine,ln(Serine),Threonine,ln(Tyrosine),Area,Length,Width,Diameter,ln(KHI),Weight,-1/(500-HFN)
42,-0.666601696,0.777025065,1.778535897,1.706327064,0.214962713,-2.199574799,0.23502632,-11.89463023,0.151234393,-1.527345112,0.254202395,-1.755883889,0.091949257,-1.063837688,22.03333333,7.266666667,3.833333333,3.472853553,4.141204847,36.98361673,-0.008733624
43,-0.304181149,0.762017463,1.909262627,2.114081723,0.17453372,-2.082053197,0.208067593,-11.04110413,0.141398418,-1.601968736,0.252399196,-1.80936425,0.08619633,-1.175992415,19.53333333,6.633333333,3.7,3.203112019,4.167523018,31.05163633,-0.01025641
44,-0.485496734,0.539547233,1.925674196,2.690232971,0.010348287,-1.896920505,0.20350728,-10.62056221,0.157494571,-1.720474451,0.261148392,-1.85528328,0.078882644,-1.474234837,20.46666667,6.833333333,3.8,3.46228182,4.071209794,34.2123171,-0.008
45,-0.229016134,1.114503524,2.091475685,1.828742013,0.196704868,-2.183060845,0.219760883,-10.36446174,0.168053004,-1.498394238,0.257746288,-1.731887439,0.082960998,-0.995178524,19.26666667,6.633333333,3.666666667,3.342643083,4.266593571,31.41668131,-0.003472222
46,-0.408308949,0.639769993,1.648808169,2.12691883,0.400316115,-2.149417007,0.196213464,-11.86214208,0.140680868,-1.725683231,0.249882264,-1.791067163,0.082565697,-1.769737788,21,7.033333333,3.8,3.274477452,4.096760004,34.68991764,-0.00530504
47,-0.47462759,0.591179031,1.582745715,2.241063181,0.198541904,-2.335304585,0.183856829,-12.78469224,0.13036227,-1.703640845,0.250810411,-1.906777852,0.076316165,-1.674164627,20.03333333,6.833333333,3.666666667,3.218587433,4.242559311,31.69502802,-0.007782101
48,-0.270817804,0.959248978,2.974906881,3.306273541,0.532555708,-1.573797862,0.221013571,-9.08867113,0.141664697,-1.503906853,0.253526063,-1.54111675,0.09535655,-1.577417298,18.9,6.933333333,3.4,2.966304921,4.116323464,28.58758284,-0.008298755
49,-0.319495749,0.875677979,2.055760352,3.052474925,0.477025051,-1.743938723,0.217414749,-8.453026927,0.191512018,-1.567070065,0.285402986,-1.693316732,0.089455089,-1.525806726,21.83333333,7.233333333,3.866666667,3.476030985,4.094301954,36.53187364,-0.005617978
50,-0.559474715,0.66334909,1.494995101,2.311768057,0.043042542,-2.415894943,0.207698537,-13.77363911,0.128757132,-1.635363577,0.243117605,-1.991174639,0.072992798,-1.620857888,21.56666667,7,3.933333333,3.549927328,4.068927464,36.95015426,-0.005571031
51,-0.246835864,0.738599854,1.790564119,2.862393817,0.328161459,-2.34981519,0.232518741,-10.26050793,0.209434462,-1.453931057,0.300475131,-1.687058182,0.0931475,-1.467259197,19.36666667,6.733333333,3.633333333,2.991056899,4.207875129,29.70097015,-0.008097166
52,-0.358768842,0.947326183,2.092238875,2.269694497,0.319814778,-1.942188832,0.221355799,-10.83509337,0.142816819,-1.583260895,0.253725577,-1.795792172,0.078199766,-1.610200408,21.7,7.366666667,3.766666667,3.309872346,4.070042072,34.91198673,-0.003603604
53,-0.40192276,0.890650455,1.854113521,2.82663643,0.169843061,-2.031711902,0.208734276,-9.931241447,0.226538576,-1.547315044,0.322060092,-1.761580574,0.083629895,-1.600982555,22.13333333,7.366666667,3.866666667,3.529748396,4.076271813,38.7556059,-0.007462687
54,-0.327231125,0.77089001,1.827956206,2.37589005,0.176865554,-2.051464798,0.224856128,-12.43536177,0.150723011,-1.615019747,0.254601438,-1.764623386,0.085191305,-1.545876741,21.43333333,7,3.9,3.523848589,4.131144695,36.79653134,-0.005524862
